Date,daily_cases,daily_cases_7d_avg
2022-03-25,15248.0,18209
2022-03-26,14435.0,17130
2022-03-27,13621.0,16667
2022-03-28,13880.0,16013
2022-03-29,14911.0,15132
2022-03-30,15924.0,15029
2022-03-31,13688.0,14530
2022-04-01,14863.0,14475
2022-04-02,13784.0,14382
2022-04-03,16751.0,14829
2022-04-04,16063.0,15141
2022-04-05,19903.0,15854
2022-04-06,28521.0,17653
2022-04-07,28238.0,19732
2022-04-08,27252.0,21502
2022-04-09,27126.0,23408
2022-04-10,27909.0,25002
2022-04-11,24975.0,26275
2022-04-12,24597.0,26945
2022-04-13,25960.0,26580
2022-04-14,23794.0,25945
2022-04-15,53897.0,29751
2022-04-16,1083.0,26031
